Timestamp,OTR or COTA?,Setting: ,Education,Years of experience,State ,City/town (or Country if not US),Zip code,Geographic area,My work is:,Average hours / week,My pay rate is,HOURLY RATE,Yearly income from this job,Benefits,"What certifications or special training you have, if applicable (leave blank if none)",Productivity expectations,Anything further you'd like to mention regarding salary?,Gender (for gender gap comparisons),Did you negotiate your rate?
11/19/2017,OT,Outpatient,Masters,5+,MD,Rockville,20850,City,Full time,40+,Hourly,41.00,"82,000.00","401K or equivalent, Health insurance, Dental, Vision, Disibility, Tuition reimbursement, CEU reimbursement","LSVT, CBIS, PAMPCA, AOTA FW Educator ",70%,,Female,
11/19/2017,OT,SNF,Masters,15+,NY,Jamestown,14701,City,Full time,40+,Hourly,40.00,"83,200.00","401K or equivalent, Health insurance, Dental, Vision, Disibility",,90%,,Female,
11/19/2017,OT,ALF,Masters,3,MD,Frederick,21740,City,Full time,35+,Hourly,39.00,"75,000.00","401K or equivalent, Health insurance, CEU reimbursement",,75%,,Female,
11/19/2017,OT,"School system, Day center for geriatrics",Masters,3,CA,92101,92101,City,Full time,35+,Salary,56.00,"85,000.00","401K or equivalent, Health insurance, Dental, Vision, CEU reimbursement, extended time off",,3.5 hours per day in tx,"I get 1 week at thanksgiving, 2 weeks at Christmas and 2 months off for summer. I am paid 12 equal payments 1 x per month of 3900.00 per month. I get 11 sick days/personal leave days, anything beyond that I get 1/2 pay for 6 months with MD authorization. I assess preschool children to enter the school district with an IEP. For fun, I have a per diem job that I work at 1x per week for 50 dollars an hour. ",Female,
11/19/2017,OT,Inpatient,Masters,4,MI,Grand Rapids ,49503,City,PRN,35+,PRN,39.00,"60,000.00",None,,17 units per 8 hrs ,,Female,
11/19/2017,OT,School system,Bachelors,15+,WA,Federal Way,98023,City,Full time,35+,Hourly,55.00,"52,992.00",None,,80%,,Female,
11/19/2017,OT,Early Intervention,Masters,New grad / less than a year,MA,Lawrence,1843,City,Full time,35+,Hourly,22.50,"47,000.00","Health insurance, Dental",,55%,$25/hour incentive bonus for over 22.5 hours of treatment per week,Female,
11/19/2017,COTA,Home health,Associates,10+,OH,Liberty Township,45011,Large metro area,Full time,40+,Per visit,45.00,"56,000.00",401K or equivalent,,25 appts,,Female,
11/19/2017,OT,School system,Masters,New grad / less than a year,WA,Federal Way,98001,City,Contract,40+,Contract,37.00,"53,280.00","401K or equivalent, Health insurance, Dental, Vision, Tuition reimbursement, CEU reimbursement",,900 minutes of service per week,I get paid for 180 school days. Anytime school is closed I do not get paid. ,Female,
11/19/2017,OT,"Acute, Outpatient",Masters,New grad / less than a year,TX,El Paso,79934,City,Full time,40+,Hourly,28.83,"57, 800","401K or equivalent, Health insurance, Dental, Vision, Disibility, CEU reimbursement",IASTM through Smart Tools,85%,I received a 5k bonus that is paid every 3 months for 2 years. ,Female,
11/19/2017,OT,Pediatric,Masters,New grad / less than a year,NC,Asheville,28712,City,Full time,35+,Per visit,50.00,"62,000.00",None,,N/A,"$50 per hourly visit (or $12.50 per unit), $110 per evaluation (usually about 1.5 hour)",Female,
11/19/2017,OT,Inpatient,Masters,2,NC,Raleigh,27612,Large metro area,Full time,40+,Hourly,27.50,"59,500.00","401K or equivalent, Health insurance, Dental, Vision, Disibility, Tuition reimbursement","CPAM, CSRS",75%,,Female,
11/19/2017,OT,"Outpatient, Pediatric",Masters,New grad / less than a year,AR,Springdale,72762,City,Contract,35+,Contract,43.00,"66,000.00","401K or equivalent, CEU reimbursement",,80%,,Female,
11/19/2017,COTA,SNF,Bachelors,New grad / less than a year,NC,Durham,27705,City,PRN,20+,PRN,35.00,"30,000.00",None,,N/A,,Female,
11/19/2017,COTA,SNF,Associates,New grad / less than a year,CA,Sacramento,95828,City,Full time,40+,Hourly,35.00,"72,800.00","401K or equivalent, Health insurance, Dental, Vision, Disibility",,90%,,Female,
11/19/2017,OT,"Early Intervention, School system",Masters,New grad / less than a year,PA,Indiana,15701,Town,Part time,10-15,Hourly,28.00,"21,840.00",None,,N/A,Am paid for documentation time,Female,
11/19/2017,OT,Home health,Bachelors,15+,TX,Dallas,75218,Large metro area,Full time,35+,Hourly,72.50,"84,000.00","401K or equivalent, Health insurance, Dental, Vision, CEU reimbursement",,90%,,Female,
11/19/2017,COTA,"Acute, SNF",Associates,New grad / less than a year,CA,San Diego ,92020,Large metro area,Full time,35+,Hourly,32.00,"61,000.00","401K or equivalent, Health insurance, Dental, Vision, Disibility, Tuition reimbursement, CEU reimbursement",,90%,,Female,
11/19/2017,OT,"SNF, Early Intervention, School system",OTD,20+,NY,Valley Stream ,11580,Large metro area,Full time,40+,Hourly,55.00,"160,000.00",401K or equivalent,SI,90%,Early Intervention $63 per 30 minutes session ,Female,
11/19/2017,OT,Hand Therapy,Masters,New grad / less than a year,FL,Tampa ,33601,City,Full time,40+,Contract,32.00,"76,000.00","401K or equivalent, Health insurance, CEU reimbursement",,80%,,Female,
11/19/2017,OT,SNF,Masters,1,KY,Louisville,40245,City,PRN,20+,PRN,45.00,"40,000.00",None,DPAMs,85%,,Female,
11/19/2017,OT,Home health,Masters,1,KY,Carrollton,41008,Town,Per visit,15,PRN,50.00,"15,000.00",None,,N/A,,Female,
11/19/2017,OT,SNF,Masters,1,FL,St. Petersburg,33704,City,Full time,40+,Hourly,38.00,"79,000.00","401K or equivalent, Health insurance, Dental, Vision, Disibility, CEU reimbursement",,85%,,Female,
11/19/2017,OT,"Early Intervention, Pediatric",Masters,New grad / less than a year,OK,Oklahoma City ,73160,Large metro area,Contract,20+,Per visit,80.00,"76,000.00",None,,N/A,,Female,
11/19/2017,OT,"SNF, Geriatrics",Masters,New grad / less than a year,WI,Baraboo,53913,Town,Full time,40+,Hourly,30.90,"64,272.00","401K or equivalent, Health insurance, Dental, Vision, Disibility, CEU reimbursement",,85%,,Female,
11/19/2017,OT,Inpatient,Masters,3,OH,Columbus,43054,City,Salary (exempt from overtime pay),40+,Hourly,30.28,"63,000.00","401K or equivalent, Health insurance, Dental, Vision, Tuition reimbursement, CEU reimbursement","ATP, Assistive technology professional",85%,,Female,
11/19/2017,OT,"Acute, Adult",Masters,New grad / less than a year,WI,Madison,53792,City,PRN,8,Hourly,38.38,"7,500.00",None,,85%,,Female,
11/19/2017,OT,Pediatric,Masters,5+,MA,Canton,2021,City,Full time,35+,Per visit,32.00,"65,000.00","401K or equivalent, Health insurance, CEU reimbursement",,60%,,Female,
11/19/2017,OT,"Outpatient, Home health, Early Intervention, School system, Pediatric",Masters,2,OH,Cincinnati ,45243,Town,Salary (exempt from overtime pay),40+,Contract,21.00,"58,000.00","401K or equivalent, Health insurance",,85%,,Female,
11/19/2017,OT,"Acute, Adult",Masters,New grad / less than a year,CA,Los Angeles ,90057,Large metro area,Full time,40+,Hourly,43.00,"89,440.00","401K or equivalent, Health insurance, Dental, Vision, CEU reimbursement",,85%,,Female,
11/19/2017,OT,"Acute, Inpatient, SNF, Adult, Geriatrics",Masters,5+,IN,"Ft wayne, IN",46804,City,Full time,40+,Hourly,35.00,"72,800.00","401K or equivalent, Health insurance, Dental, Vision, CEU reimbursement","Certified fieldwork educator, CPR",70%,,Female,
11/19/2017,OT,"SNF, LTC",Masters,New grad / less than a year,PA,Newtown,18940,Rural,Full time,40+,Hourly,36.00,"74,000.00","401K or equivalent, Health insurance, Dental, Vision, CEU reimbursement",,90%,,Female,
11/19/2017,COTA,SNF,Associates,4,WA,Spokane,99217,City,Full time,30+,Hourly,26.52,"41,371.00","Health insurance, Dental, Vision",,90%,,Female,
11/19/2017,OT,SNF,Masters,New grad / less than a year,NC,Asheville,28801,City,Full time,35+,Hourly,37.00,"70,000.00","401K or equivalent, Health insurance, Dental, Vision, Disibility",,85%,,Female,
11/19/2017,OT,"Outpatient, Pediatric",Masters,New grad / less than a year,IL,Chicago ,60613,City,Full time,35+,Salary,30.00,"60,000.00","401K or equivalent, Health insurance, Dental, Vision, Disibility, CEU reimbursement",,60%,,Female,
11/19/2017,OT,ALF,Masters,1,NC,Durham,27713,City,Full time,30+,Hourly,34.00,"65,000.00","401K or equivalent, Health insurance, Dental, Vision, Disibility",,85%,,Female,
11/19/2017,OT,"Outpatient, Home health, Rehab manager",Masters,5+,WI,Milwaukee,53209,City,Full time,30+,Hourly,40.00,"70,000.00","401K or equivalent, Health insurance, Dental, Vision, Disibility",,75%,,Female,
11/19/2017,OT,"Inpatient, Pediatric",Masters,New grad / less than a year,MN,Minneapolis ,55465,Large metro area,Full time,40+,Hourly,32.60,"66,000.00","401K or equivalent, Health insurance, Dental, Disibility",,50,,Female,
11/19/2017,OT,Home health,Masters,4,UT,Salt lake,84123,Large metro area,Per visit,35+,Per visit,65.00,"85,000.00",None,CLT,N/A,Independent contractor ,Female,
11/19/2017,COTA,Home health,Associates,2,VA,Richmond ,23237,Town,Full time,35+,Salary,35.71,"65,000.00","Health insurance, Dental, Vision",,30 visits a week,,Female,
11/19/2017,OT,Inpatient,Masters,New grad / less than a year,AZ,Phoenix ,85020,City,Full time,40+,Hourly,35.00,"72,800.00","401K or equivalent, Health insurance, Dental, Vision, Disibility, Tuition reimbursement, CEU reimbursement",,100,,Female,
11/19/2017,OT,"Early Intervention, School system",Masters,30+,FL,Safety Harbor,34695,Large metro area,Full time,35+,Hourly,45.00,"82,000.00","401K or equivalent, Health insurance, Dental, Vision, Disibility","Graduate Certificate (18 graduate credits in Infant Toddler Developmental Specialist, SIPT certified, 36 graduate hours towards Doctor of Rehab Science degree ( school-based and early intervention tract), extensive continuing education in the areas of AT, autism, early intervention and pediatric assessment",N/A,I work an 11.5 month contract in the public schools.,Female,
11/19/2017,OT,Home health,OTD,New grad / less than a year,CO,Aurora,80012,Large metro area,Per visit,30+,Per visit,85.00,"132,600.00",None,,N/A,$85/ visit,Male,
11/19/2017,OT,SNF,Masters,1,FL,Naples,34110,Town,Full time,40+,Hourly,35.00,"72,800.00","401K or equivalent, Health insurance, Dental, Vision, Disibility",,85%,,Female,
11/19/2017,OT,Mental health,Masters,New grad / less than a year,MA,Dorchester ,2127,City,Full time,40+,Hourly,31.00,"64,878.00","401K or equivalent, Health insurance, Dental, Vision",,85%,,Female,
11/19/2017,OT,Inpatient,Bachelors,25+,KS,Kansas City,66112,Large metro area,Full time,30+,Hourly,41.41,"64,600.00","401K or equivalent, Health insurance, Dental, Vision",Craniosacral,80%,"Our facility is slow. I should be 40hrs/week, but getting an average of 30.",Female,
11/19/2017,OT,School system,Masters,4,MI,Macomb,48042,Large metro area,Salary (exempt from overtime pay),35+,Contract,35.49,"64,590.00","401K or equivalent, Health insurance, Dental, Vision, Disibility, Tuition reimbursement",,N/A,Need to meet student service requirements each month.,Female,
11/19/2017,OT,"Outpatient, Pediatric",Masters,5+,FL,Fort Myers,33901,City,Salary (exempt from overtime pay),40+,Hourly,32. 80,"68,000.00","401K or equivalent, Health insurance, Dental, Vision, Disibility, Tuition reimbursement, CEU reimbursement","ADOS2 Administrator, IM certified, MPS certified",60%,Numbers are pretax,Female,
11/19/2017,OT,School system,Masters,10+,NY,Buffalo,14224,City,Full time,35+,Hourly,38.00,"52,000.00","401K or equivalent, Disibility, CEU reimbursement",,60%,"Contract work for school year term. 10 week summer program is optional and not included in my salary. I take no paid time off (no sick days, paid school holiday breaks, etc.)",Female,
11/19/2017,OT,"School system, Pediatric",Masters,3,NJ,Cedar Knolls,07927,Town,Salary (exempt from overtime pay),35+,Contract,34.00,"70,000.00","401K or equivalent, Health insurance, Dental, Vision, Disibility, CEU reimbursement",,N/A,,Female,
11/19/2017,OT,Inpatient,Masters,3,VA,Roanoke,24018,City,Full time,35+,Hourly,34.87,"74,609.00","401K or equivalent, Health insurance, Dental, CEU reimbursement",,75%,,Female,
11/19/2017,COTA,School system,Associates,New grad / less than a year,WI,Ellsworth ,54011,Town,Full time,40+,Hourly,19.00,"30,000.00","401K or equivalent, Health insurance, Dental, Vision, Disibility, CEU reimbursement",DPI,80%,,Female,
11/19/2017,OT,"Acute, Inpatient",Masters,5+,NV,Las Vegas ,89117,City,PRN,10,Hourly,70.00,"36,400.00",None,,90%,,Female,
11/19/2017,OT,Home health,OTD,New grad / less than a year,CA,Glendale,91202,City,Contract,20+,Per visit,65.00,"67,600.00",None,,N/A,$65 per visit,Female,
11/19/2017,OT,"ALF, SNF, LTC",Masters,New grad / less than a year,IA,Des Moines ,50266,Large metro area,Full time,40+,Hourly,35.00,"72,800.00","401K or equivalent, Health insurance, Dental, Vision, Disibility, CEU reimbursement",,85%,,Female,
11/19/2017,OT,"Pediatric, NICU ",Masters,5+,LA,Baton Rouge ,70816,Large metro area,Full time,35+,Hourly,33.23,"65,662.00","401K or equivalent, Health insurance, Dental, Vision",,80%,,Female,
11/19/2017,OT,Acute,Masters,New grad / less than a year,PA,Pittsburgh,15090,City,PRN,25+,Hourly,28.00,"44,000.00",None,,85%,I work “standby” but get a good amount of hours. Pay is 28.82 hourly,Female,
11/19/2017,OT,School system,Masters,5+,OH,Akron,44303,City,Contract,35+,Contract,39.00,"50,000.00",401K or equivalent,,N/A,For contract you do not get paid for breaks or when school is not in session.,Female,
11/19/2017,OT,"Outpatient, Hand Therapy",Masters,1,MI,Lansing,48910,City,Full time,40+,Hourly,32.00,"66,560.00","Health insurance, CEU reimbursement",,90%,,Female,
11/19/2017,OT,"Outpatient, SNF, LTC, Low Vision, Geriatrics",Masters,1,WI,madison,53703,City,Full time,30+,Hourly,32.00,"63,000.00","401K or equivalent, Health insurance, Dental, Vision, Disibility, Tuition reimbursement, CEU reimbursement",lymphedema ,85%,,Female,
11/19/2017,OT,"Early Intervention, School system",Masters,New grad / less than a year,NY,Buffalo,14120,City,Full time,35+,Contract,28.02,"51,000.00",401K or equivalent,,75%,,Female,
11/19/2017,OT,ALF,Masters,5+,SC,Bluffton,29910,Town,Full time,30+,Hourly,40.19,"62,500.00","401K or equivalent, Health insurance, Dental, Vision, Disibility, Hsa, fsa, life insurance",LSVT BIG ,80%,,Female,
11/19/2017,OT,School system,OTD,4,MD,Baltimore,21030,Large metro area,Full time,30+,Hourly,48.00,"61,000.00","401K or equivalent, Health insurance, Dental, Vision, Disibility, Tuition reimbursement, CEU reimbursement",,80%,Doctoral degree on a teacher's pay scale that rewards educational level,Female,
11/19/2017,OT,"Outpatient, ALF, SNF, LTC",Masters,New grad / less than a year,VA,Newport news,23602,Town,Full time,35+,Hourly,36.15,"66,000.00",None,,80%,Paid partial no benefits,Female,
11/19/2017,COTA,SNF,Associates,3,CA,Chico,95973,Town,Full time,40+,Hourly,31.50,"65,000.00","Health insurance, Dental, Vision",Trigger point MFR,90%,No,Male,
11/19/2017,OT,"Inpatient, SNF",Masters,New grad / less than a year,VA,Warrenton,20115,Town,Full time,40+,Contract,35.00,"72,800.00","Health insurance, Dental, Vision",,90%,,Female,
11/19/2017,COTA,"SNF, LTC",Associates,2,OH,West Liberty ,43357,Rural,Full time,35+,Hourly,23.00,"41,860.00","401K or equivalent, Health insurance, Dental, Vision, Tuition reimbursement, CEU reimbursement",,85%,,Female,
11/19/2017,OT,SNF,Masters,2,MS,Ridgeland,39157,City,Full time,40+,Hourly,32.00,"66,000.00","401K or equivalent, Health insurance, Dental, Vision, CEU reimbursement",,95%,,Female,
11/19/2017,OT,"SNF, Adult, Geriatrics",Masters,5+,NE,Omaha ,68135,Large metro area,Full time,40+,Hourly,37.15,"77,272.00","401K or equivalent, Health insurance, Dental, Vision, Disibility, CEU reimbursement",Certified Lymphedema Therapist,80%,,Female,
11/19/2017,OT,"Outpatient, Hand Therapy",Bachelors,15+,NY,"Smithtown,  NY",11782,Town,Part time,20+,Hourly,45.86,"53,609.00","401K or equivalent, Tuition reimbursement, CEU reimbursement",CHT,90%,,Female,
11/19/2017,OT,"Acute, Inpatient",Masters,2,AZ,Kingman,86401,Rural,Full time,40+,Hourly,33.50,"69,680.00","401K or equivalent, Health insurance, Dental, Vision, CEU reimbursement",,60%,,Female,
11/19/2017,OT,SNF,Masters,3,NC,Madison ,27025,Rural,Full time,35+,Hourly,39.00,"77,000.00","401K or equivalent, Health insurance, Dental, Vision, Disibility",,85%,,Female,
11/19/2017,OT,SNF,OTD,New grad / less than a year,OH,Cincinnati ,45218,City,Full time,35+,Hourly,35.00,"70,000.00","Health insurance, Dental, Vision, Disibility, CEU reimbursement",,80%,,Male,
11/19/2017,OT,"Outpatient, Pediatric",Masters,New grad / less than a year,TX,Midlothian ,75063,Rural,Salary (exempt from overtime pay),35+,Hourly,33.00,"63,000.00","Health insurance, CEU reimbursement",,75%,,Female,
11/19/2017,OT,Hand Therapy,Masters,New grad / less than a year,MA,Boston,02111,City,Full time,40+,Salary,33.65,"70,000.00","401K or equivalent, Health insurance, Dental, Vision, Disibility, Tuition reimbursement, CEU reimbursement",,75%,,Female,
11/19/2017,OT,School system,Bachelors,20+,MI,Clarkston ,48348,Large metro area,Full time,35+,Hourly,43.00,"65,000.00","401K or equivalent, Health insurance, Dental, Vision, CEU reimbursement",,50%,I only work 187 days per year ,Female,
11/19/2017,COTA,SNF,Associates,20+,IL,Manlius,61338,Town,Full time,40+,Hourly,32.50,"67,600.00","401K or equivalent, Health insurance, Dental, Vision, Disibility, CEU reimbursement",Nbcot,90%,,Female,
11/19/2017,COTA,Acute,Associates,1,NC,Charlotte ,28204,City,PRN,30+,Hourly,26.00,"40,560.00",None,,60%,,Female,
11/19/2017,OT,"Acute, Inpatient",Masters,New grad / less than a year,CA,walnut creek,94596,City,Full time,40+,Hourly,42.25,"87,800.00","401K or equivalent, Health insurance, Dental, Vision",,85%,,Female,
11/19/2017,OT,Pediatric,Masters,1,AR,Fort Smith,72901,City,Contract,20+,Hourly,55.00,"60,000.00",CEU reimbursement,,N/A,,Female,
11/20/2017,OT,School system,Bachelors,20+,CA,Red Bluff ,95926,Rural,Salary (exempt from overtime pay),35+,Salary,49.45,"90,000.00","401K or equivalent, Health insurance, Dental, Vision, CEU reimbursement",Sipt certification ,N/A,My salary is based on a school year contract of 190 work days,Female,
11/20/2017,OT,Acute,Masters,2,OR,Portland,97222,Large metro area,Full time,40+,Hourly,38.00,"79,040.00",401K or equivalent,,75%,"Newly in acute care setting as transfer from inpatient rehab (worked there per diem) within same hospital system, so transferred over at my old ""on-call incentive"" rate",Female,
11/20/2017,OT,SNF,OTD,2,OR,portland,97222,Large metro area,PRN,4,PRN,38.00,"7,296.00",None,,85%,,Female,
11/20/2017,OT,"Home health, Geriatrics",Bachelors,15+,CT,Torrington,6790,Rural,Per visit,35+,Hourly,68.00,"108,000.00",None,,75%,,Female,
11/20/2017,OT,School system,Masters,New grad / less than a year,CA,Crockett,94525,Town,Part time,18,Hourly,48.00,"50,000.00","401K or equivalent, CEU reimbursement",,60%,Yearly income is less dt being paid only during school year,Male,
11/20/2017,OT,SNF,Masters,2,CA,San Jose ,95138,City,Full time,35+,Hourly,50.00,"98,000.00","401K or equivalent, Health insurance, Dental, Vision, CEU reimbursement, Pto ",,85%,,Female,
11/20/2017,OT,Private Practice Med legal,PhD,20+,Outside US or US territories,Canada,12345,Large metro area,Full time,40+,Per visit,"1,000.00","250,000.00",None,"BTE Cert, 5 degrees total. ",95%,Salary varies from 225-300k and is in Canadian dollars,Male,
11/20/2017,COTA,SNF,Associates,New grad / less than a year,NJ,Williamstown,08094,City,Full time,40+,Hourly,30.00,"62,400.00","401K or equivalent, Health insurance, Dental, Vision, Disibility, Tuition reimbursement",,90%,,Female,
11/20/2017,OT,"Inpatient, Outpatient, Home health, Rehab manager",Bachelors,15+,TX,Vernon,76384,Rural,Full time,40+,Salary ,61.00,"125,000.00","401K or equivalent, Health insurance, Dental, Vision, CEU reimbursement",LSVT Big,85%,,Female,
11/20/2017,COTA,SNF,Associates,2,IL,Wheeling,60090,Town,Full time,35+,Hourly,30.81,"60,000.00","401K or equivalent, Health insurance, Dental, Vision, CEU reimbursement",,88,Received 1% raised after 1st year ,Female,
11/20/2017,OT,Pediatric,Masters,2,FL,Near Orlando,35749,City,Salary (exempt from overtime pay),35+,Flat rate,,"70,000.00",Paid vacation,,90%,,Male,
11/20/2017,OT,SNF,OTD,1,OH,Sylvania,43530,City,Full time,40+,Hourly,32.80,"68,224.00","401K or equivalent, Health insurance, Dental, Vision, Disibility, CEU reimbursement, annual raises; holiday pay",NEURO-IFRAH trained,75%,,Female,
11/20/2017,OT,Inpatient,OTD,1,OH,Toledo,43613,City,PRN,10,Hourly,55.00,"10,000.00",CEU reimbursement,NEURO-IFRAH trained,90%,,Female,
11/20/2017,OT,Academia/Higher education,OTD,1,OH,Toledo,43606,City,Part time,5,Hourly,50.00,"3,500.00",401K or equivalent,,N/A,"teaching, no productivity",Female,
11/20/2017,OT,School system,Masters,2,NY,Newark ,14513,Rural,Full time,40+,Contract,32.00,"48,292.00","401K or equivalent, Health insurance, Dental, Vision",,N/A,Salary is only for 10 months,Male,
11/20/2017,OT,Inpatient,Masters,New grad / less than a year,OH,Avon,44011,Town,PRN,10-20,Hourly,50.00,"52,000.00",None,,85%,,Female,
11/20/2017,OT,"Inpatient, Outpatient",PhD,30+,TX,Houston,77021,Large metro area,Full time,40+,Hourly,89.16,"186,400.00","401K or equivalent, Health insurance, Dental, Vision, Disibility, Tuition reimbursement, CEU reimbursement",,N/A,"I am the Director of a large rehabilitation department, so represent the upper end of salary ($186,400) but represent what is possible for OTPs",Male,
11/20/2017,OT,SNF,Masters,5+,IN,Indianapolis ,46256,City,Full time,40+,Hourly,36.00,"74,880.00","Health insurance, Dental, Vision, CEU reimbursement",,85%,Up to 12.5 hours of PTO per year ,Female,
11/20/2017,OT,"Acute, Inpatient, Mental health, Adult",Masters,4,Outside US or US territories,Ireland,Dublin 17,City,Full time,35+,Contract,21.43,"39,000.00",None,MSC in Research,N/A,"I have no idea what productivity is (survey very US focused I think, other countries don't seem to have the same requirements) ",Female,
11/20/2017,OT,SNF,OTD,4,NE,Omaha,68104,Large metro area,PRN,35+,PRN,50.00,"80,000.00",None,CEES,85%,,Female,
11/20/2017,OT,Adult,Bachelors,4,Outside US or US territories,U.K. ,Bh9 ,Town,Part time,25+,Hourly,18.50,"36,100.00",Vision,,90%,No us a what the productivity % was for? ,Female,
11/20/2017,OT,SNF,Masters,4,PA,Philadelphia ,19119,City,Full time,40+,Hourly,43.00,"89,500.00","Health insurance, Dental, Vision, Disibility",,90%,,Female,
11/20/2017,COTA,SNF,Associates,20+,TX,Texarkana ,75503,City,Full time,20+,Hourly,34.15,"71,000.00","401K or equivalent, Health insurance, Dental, Vision, Disibility",,50%,,Female,
11/20/2017,COTA,"Acute, Inpatient, Mental health, Adult, Adolescents ",Associates,2,CA,Los Angeles ,90026,Large metro area,Full time,35+,Hourly,22.66,"47,000.00","401K or equivalent, Health insurance, Dental, CEU reimbursement","Moab, cpr, fire & safety",N/A,,Female,
11/20/2017,OT,Inpatient,Masters,2,DC,Washington,20010,City,Full time,40+,Hourly,32.50,"72,000.00","401K or equivalent, Health insurance, Dental, Vision, Tuition reimbursement, CEU reimbursement",,N/A,,Female,
11/20/2017,OT,Hand Therapy,Bachelors,30+,NC,Asheville,28801,City,Part time,20+,Hourly,40.00,"47,000.00",None,Certified Hand Therapist ,80%,Annual salary is based on 20 +/- hours/ week,Female,
11/20/2017,OT,"Inpatient, Adult, Geriatrics",Masters,New grad / less than a year,NY,Syracuse ,13219,Large metro area,Full time,40+,Contract,26.31,"54,734.00","401K or equivalent, Health insurance, Dental, Vision",,75%,,Female,
11/20/2017,OT,Home health,Masters,2,CO,Denver,80210,Large metro area,Full time,40+,Per visit,60.00,"71,000.00","Health insurance, Dental, Vision",,N/A,Only get paid if visit occurs,Female,
11/20/2017,OT,"Acute, Pediatric",Masters,New grad / less than a year,CO,Denver,80210,Large metro area,Full time,40+,Hourly,29.70,"60,000.00","Health insurance, Dental, Vision, Tuition reimbursement, In house CEU courses offeres",,85%,,Female,
11/20/2017,OT,Acute,Bachelors,15+,NH,Exeter,03833,Town,Full time,35+,Hourly,40.85,"70,000.00","401K or equivalent, Health insurance, Dental, Vision, Disibility",,60%,,Female,
11/20/2017,COTA,"Outpatient, Pediatric",Associates,2,NC,Jacksonville,28546,Rural,Per visit,20+,Hourly,28.00,"26,000.00",CEU reimbursement,,N/A,,Female,
11/20/2017,COTA,SNF,Associates,New grad / less than a year,VA,Hampton,23666,Large metro area,Full time,35+,Hourly,24.82,"52,000.00","401K or equivalent, Health insurance, Dental, Vision, Disibility, Tuition reimbursement",,85%,,Female,
11/20/2017,OT,"Home health, Adult, Geriatrics",Masters,5+,CO,Steamboat Springs,80487,Rural,PRN,20+,Hourly,40.00,"41,600.00",None,,70%,,Female,
11/20/2017,OT,Inpatient,Masters,New grad / less than a year,WV,Princeton ,24739,Rural,Full time,40+,Contract,35.00,"72,800.00","401K or equivalent, Health insurance, Dental, Vision, Disibility, Tuition reimbursement, CEU reimbursement",,N/A,,Female,
11/21/2017,OT,"SNF, Geriatrics",Masters,2,KY,Louisville ,40202,Large metro area,Full time,35+,Hourly,31.00,"64,480.00","Health insurance, Dental, Vision, CEU reimbursement",,85%,,Female,
11/21/2017,OT,School system,Bachelors,30+,Outside US or US territories,British Columbia Canada,H0H 0H0,City,Full time,35+,Salary,45.05,"82,000.00","401K or equivalent, Health insurance, Dental, Vision, Disibility, I only work 9 months of the year",I actually have 2 Bachelors ,N/A,"I am paid the same as teachers with same education level (considered 5 years education) and the same experience-(over 20 years). Actually I am salary. I get paid every 2 weeks year round but get 2 weeks off at Christmas, 2 weeks off in March and 9 weeks off July/August",Female,
11/21/2017,COTA,School system,Associates,15+,NY,E. Northport,11768,Town,Per visit,20+,Per visit,38.00,"50,000.00",None,,95%,"Rate is dependent on type of service provided( reports, group/ individual treatments, annual/triennial testing, group size etc",Female,
11/21/2017,OT,Inpatient,Masters,4,WI,Milwaukee and Menomonee Falls,53226 and 53051,Large metro area,PRN,Varies ,Hourly,42.75,"43,680.00",None,,75%,Also received (<$400) bonus ,Female,
11/21/2017,OT,Acute,Masters,1,CA,San jose,95126,City,Full time,40+,Hourly,41.00,"78,000.00","401K or equivalent, Health insurance",,85%,,Female,
11/21/2017,OT,Acute,Masters,5+,MO,Clinton,64735,Rural,Salary (exempt from overtime pay),40+,Hourly,32.20,"67,000.00","401K or equivalent, Health insurance, Dental, Vision, Disibility, CEU reimbursement",,75%,,Female,
11/21/2017,OT,Outpatient,Bachelors,25+,FL,melbourne ,32934,Large metro area,Contract,25+,Hourly,40.00,"58,240.00",None,pelvic floor therapy ,75%,,Female,
11/21/2017,OT,"Early Intervention, School system",Masters,New grad / less than a year,CA,San Jose,95124,Large metro area,Part time,25+,Hourly,42.00,"38,000.00",None,,80%,"based on 24 hours/week, 100 work days per year (school schedule, summers off)",Female,
11/21/2017,COTA,SNF,Associates,25+,FL,Ft lauderdale ,33334,City,PRN,20+,PRN,35.00,"36,000.00",None,,95%,,Male,
11/21/2017,OT,School system,Masters,4,IL,Aurora,60504,Town,Full time,30+,Hourly,39.00,"60,000.00","401K or equivalent, Health insurance, Dental, Vision, CEU reimbursement",,Mandated minutes on iep ,,Female,
11/21/2017,COTA,"Inpatient, SNF",Associates,1,NY,Gloversville ,12078,Rural,Full time,35+,Hourly,24.00,"46,800.00","Health insurance, Dental, Vision",,85%,,Female,
11/21/2017,COTA,School system,Associates,New grad / less than a year,NY,Albany ,12084,City,Full time,40+,Contract,12.50,"26,000.00","401K or equivalent, Health insurance, Dental, CEU reimbursement",,N/A,,Female,
11/21/2017,COTA,SNF,Associates,New grad / less than a year,TX,San Antonio,78240,City,PRN,3,Hourly,34.00,"5,300.00",None,CPR ,100%,,Female,
11/21/2017,OT,SNF,Bachelors,30+,MO,st louis ,63038,Large metro area,Full time,35+,Hourly,37.00,"70,000.00","401K or equivalent, Health insurance, CEU reimbursement",,85%,,Female,
